Aracaj√∞,10∞ 54' 40"S,37∞ 04' 18" W
Bel√©m,01∞ 27' 21" S,48∞ 30' 16" W
Belo Horizonte,19∞ 55' 15" S,43∞ 56' 16" W
Boa Vista,02∞ 49' 11" N,60∞ 40' 24" W
Bras√≠lia,15∞ 46' 47" S,47∞ 55' 47" W
Campo Grande,20∞ 26' 34" S,54∞ 38' 47" W
Cuiab√°	,15∞ 35' 46" S,56∞ 05' 48" W
Curitiba,25∞ 25' 40" S,49∞ 16' 23" W
Florian√≥polis,27∞ 35' 48" S,48∞ 32' 57" W
Fortaleza,03∞ 43' 02" S,38∞ 32' 35" W
Goi√¢nia, 16∞ 40' 43" S,49∞ 15' 14" W
Jo√£o Pessoa,07∞ 06' 54" S,34∞ 51' 47" W
Macap√°	,00∞ 02' 20" N,51∞ 03' 59" W
Macei√≥,09∞ 39' 57"S,35∞ 44' 07" W
Manaus	,03∞ 06' 07" S,60∞ 01' 30" W
Natal	,05∞ 47' 42" S,35∞ 12' 34" W
Palmas	,10∞ 12' 46" S,48∞ 21' 37" W
Porto Alegre ,30∞ 01' 59" S,51∞ 13' 48" W
Porto Velho ,08∞ 45' 43" S,63∞ 54' 14" W
Recife	,08∞ 03' 14" S,	34∞ 52' 52" W
Rio Branco ,09∞ 58' 29" S,67∞ 48' 36" W
Rio de Janeiro,	22∞ 54' 10" S,43∞ 12' 27" W
Salvador,12∞ 58' 16" S,38∞ 30' 39" W
S√£o Lu√≠s,02∞ 31' 47" S,44∞ 18' 10" W
S√£o Paulo,23∞ 32' 51" S,46∞ 38' 10" W
Teresina,05∞ 05' 21" S,42∞ 48' 07" W
Vit√≥ria,20∞ 19' 10" S,40∞ 20' 16" W
